camera,x0,y0,x1,y1
top,15.687916341227346,83.49947409529177,84.81253981316944,-3.815839764003507
top,14.101392404193028,83.73481269024498,83.25003336842067,-17.04863163008677
top,12.569232764973451,83.962087103395,79.16597187747455,-30.74999940617624
top,11.088690197568825,84.18170484722353,72.25441356088223,-44.58823907554151
top,9.657199512768004,84.3940464316054,62.19068616807003,-57.80185729703166
top,8.273930143613875,84.59352787683163,48.9162482358465,-69.41946699899725
top,6.954091832248274,84.65836737527407,32.773811081906736,-78.41354367520034
top,5.647977442909567,84.72253266066085,14.535384127467792,-83.67043609938955
top,4.35537402693137,84.7860341944891,-4.593645125096816,-84.77432868604512
top,3.0760730186311847,84.8488822229338,-23.291974904287247,-81.68615729023536
top,1.8098701231225411,84.9110867823591,-40.33680399908804,-74.80262568075467
top,0.5565652075554994,84.9726577046615,-54.812938804527604,-64.89968398218002
top,-0.7167249587017741,84.96478956062784,-66.30495117684754,-53.11568668810015
top,-2.02440443335055,84.90054738753015,-74.76656899400668,-40.3969609466144
top,-3.3461192256608667,84.83561570349023,-80.36037116978027,-27.411877008586643
top,-4.682096516295061,84.76998334783782,-83.61179773429313,-14.93069187489658
front,82.20747780767711,-21.210746735588955,1.7395251234661773,-84.91454261058927
front,83.0628931684823,-17.795737187180194,-13.230851380446294,-83.86394525269509
front,83.64286950982152,-14.721222979020283,-28.654147078140596,-79.91587983147606
front,84.06999890026779,-11.8417505223728,-43.93669865424722,-72.64493186076743
front,84.48297705914662,-9.05767791981528,-58.24602596900485,-61.78811514966012
front,84.68477672080819,-6.416517254231174,-70.55660633187273,-47.382993337577524
front,84.81185449652774,-3.8297897047164424,-79.49005129129768,-29.844258121122145
front,84.93761089411309,-1.2699594250329214,-84.31313829653747,-10.20263785453949
front,84.93761089411312,1.2699594250329183,-84.31313829653745,10.20263785453947
front,84.81185449652776,3.8297897047164358,-79.49005129129769,29.84425812112211
front,84.68477672080817,6.416517254231174,-70.55660633187271,47.382993337577524
front,84.48297705914665,9.057677919815266,-58.24602596900487,61.788115149660115
front,84.0699989002678,11.841750522372795,-43.936698654247245,72.64493186076741
front,83.6428695098215,14.7212229790203,-28.654147078140596,79.91587983147606
front,83.06289316848232,17.795737187180183,-13.23085138044631,83.86394525269507
front,82.2074778076771,21.210746735588966,1.7395251234661901,84.91454261058925
